,Index,label_longname,Type
80,16,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_0.8_EM_IMPROAD_1.2_EM_PERROAD_1.2_EM_ROOF_1.2_EM_WALL_1.2,radi
81,17,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_0.8_EM_IMPROAD_1.2_EM_PERROAD_1.2_EM_ROOF_1.2_EM_WALL_0.8,radi
82,18,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_0.8_EM_IMPROAD_1.2_EM_PERROAD_1.2_EM_ROOF_0.8_EM_WALL_1.2,radi
83,19,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_0.8_EM_IMPROAD_1.2_EM_PERROAD_1.2_EM_ROOF_0.8_EM_WALL_0.8,radi
84,20,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_0.8_EM_IMPROAD_1.2_EM_PERROAD_0.8_EM_ROOF_1.2_EM_WALL_1.2,radi
85,21,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_0.8_EM_IMPROAD_1.2_EM_PERROAD_0.8_EM_ROOF_1.2_EM_WALL_0.8,radi
86,22,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_0.8_EM_IMPROAD_1.2_EM_PERROAD_0.8_EM_ROOF_0.8_EM_WALL_1.2,radi
87,23,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_0.8_EM_IMPROAD_1.2_EM_PERROAD_0.8_EM_ROOF_0.8_EM_WALL_0.8,radi
88,24,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_0.8_EM_IMPROAD_0.8_EM_PERROAD_1.2_EM_ROOF_1.2_EM_WALL_1.2,radi
89,25,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_0.8_EM_IMPROAD_0.8_EM_PERROAD_1.2_EM_ROOF_1.2_EM_WALL_0.8,radi
90,26,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_0.8_EM_IMPROAD_0.8_EM_PERROAD_1.2_EM_ROOF_0.8_EM_WALL_1.2,radi
91,27,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_0.8_EM_IMPROAD_0.8_EM_PERROAD_1.2_EM_ROOF_0.8_EM_WALL_0.8,radi
